00
250|780
494|493
584|427
518|V85
401|780
560|569
284|136
730|682
276|276
584|496
401|250
428|41
284|486
427|E849
427|493
428|250.41
491|428
250|V72
281|250
250.02|599
799|340
428|413
707|584
300|250
250|569
786|276
250|788
599|38
401|V45
250.8|707
584|585
553|250
303|401
560|276
250|414
427|244
411|272
250.92|414
403|250.02
276|V43
403|496
486|288
401|493
414|272
280|428
617|626
428|250.02
276|428
276|401
590|428
780|V42
414|250
402|789
V09|496
585|V45
402|427
250|402
428|411
276|272
414|V45
285|196
280|414
250.01|493
V45|788
427|428
427|E885
584|250.01
733|414
577|599
799|410
250|244
285|250
780|250
782|402
780|276
496|427
250|300
453|272
707|707
413|250
403|847
276|584
425|428
428|250
486|496
V45|493
305|599
414|401
788|414
428|416
515|501
682|496
411|784
446|287
162|198
368|414
428|427
437|342
567|250.01
250|V58
646|646
997|560
428|799
707|276
250|401
707|710
250.02|956
403|585
250|305
584|285
250|278
414|414
E849|562
715|250
V43|250
413|428
189|250
411|250.01
493|427
745|401
535|553
197|197
250.01|401
426|250
435|786
428|402
250.02|244
272|?
250.02|401
600|250
440|250.8
996|411
511|V09
599|707
V42|428
780|437
428|491
599|437
493|250
287|355
600|V15
250.02|70
426|584
411|786
599|208
427|427
304|275
250.01|428
428|426
786|38
441|401
250.01|584
428|403
496|414
496|285
427|250.02
599|287
998|285
276|250
413|E947
599|595
491|682
427|250
135|?
280|403
424|276
285|553
411|496
304|70
344|518
780|300
V64|414
571|303
276|203
427|553
599|427
413|402
401|272
496|250
427|411
599|250
?|?
413|401
263|799
250.6|357
276|271
995|490
440|440
996|403
584|581
250.02|413
427|277
401|414
845|250
648|648
276|250.02
410|491
780|E854
424|414
786|412
349|276
240|250
250.02|8
276|278
305|401
250|?
276|250.12
728|276
276|518
276|342
276|599
552|295
414|305
403|428
250|V10
425|401
788|250
428|276
486|285
285|E885
V63|682
41|788
998|998
250.7|440
584|728
428|585
788|601
710|729
250.11|?
300|401
518|491
496|278
162|197
412|401
250.6|425
411|401
414|998
401|244
331|726
250|272
396|496
729|250
682|515
427|496
560|250.92
250.12|410
434|414
599|788
578|155
311|278
428|197
38|995
758|250
425|496
411|438
348|733
250.4|585
427|401
535|427
250.01|427
285|788
511|276
681|682
573|789
428|250.01
295|70
403|424
780|401
411|305
V58|250.6
414|426
250.01|354
250.41|584
428|496
403|707
569|493
794|780
584|560
295|V08
424|401
507|599
728|295
337|511
707|427
250.01|780
496|300
496|425
427|414
440|V49
401|300
197|196
250.02|428
997|518
427|599
204|414
276|578
250.51|585
414|428
292|250.01
250.43|250.6
403|V45
250.02|438
276|288
585|287
707|401
810|E888
428|707
427|276
402|428
599|295
574|250.92
250.92|276
157|276
682|250.03
424|427
42|425
403|276
682|250
428|425
276|331
681|707
424|250
599|496
38|785
599|276
427|997
535|280
411|250
496|790
625|624
250.22|599
507|584
462|?
250.02|V64
722|250
428|599
411|746
428|414
403|998
V43|401
403|41
574|250
571|456
340|285
401|250.6
440|707
411|250.03
E939|296
599|780
780|780
428|278
997|427
202|250.6
285|997
414|185
411|428
997|250.4
250.01|272
585|250.6
272|786
E888|401
428|459
682|457
411|599
398|396
250|564
785|427
425|427
401|285
305|414
585|403
558|401
682|599
496|250.01
574|276
414|413
296|427
276|V58
250|493
428|401
466|401
411|414
569|401
560|401
162|729
593|250
427|424
342|414
989|414
E849|584
997|432
493|305
599|8
276|496
530|401
250.02|285
162|492
411|491
511|780
496|780
414|285
707|496
599|263
250.6|536
599|436
707|682
682|785
584|682
428|250.82
276|794
507|253
276|585
518|272
780|486
511|427
296|304
285|402
486|250.01
426|786
478|780
197|198
998|453
785|403
486|414
536|250
250.02|294
E932|786
599|511
272|250
799|276
V43|693
730|707
428|733
V45|V43
274|707
998|625
